0.000000	-nan	-nan	-nan	
0.100000	0.000000	0.000000	944.024048	
0.141421	0.000000	0.000000	75.707214	
0.173205	0.000000	0.000000	13.272463	
0.200000	0.000000	0.000000	1.281412	
0.223607	0.000000	0.000000	-2.093861	
0.244949	0.000000	0.000000	-3.209877	
0.264575	0.000000	0.000000	-3.576728	
0.282843	0.000000	0.000000	-3.658545	
0.300000	0.000000	0.000000	-3.623708	
0.316228	0.000000	0.000000	-3.540528	
0.331662	0.000000	0.000000	-3.438864	
0.346410	0.000000	0.000000	-3.332371	
0.360555	0.000000	0.000000	-3.227380	
0.374166	0.000000	0.000000	-3.126758	
0.387298	0.000000	0.000000	-3.031669	
0.400000	0.000000	0.000000	-2.942434	
0.412311	0.000000	0.000000	-2.858957	
0.424264	0.000000	0.000000	-2.780946	
0.435890	0.000000	0.000000	-2.708027	
0.447214	0.000000	0.000000	-2.639801	
0.458258	0.000000	0.000000	-2.575879	
0.469042	0.000000	0.000000	-2.515891	
0.479583	0.000000	0.000000	-2.459499	
0.489898	0.000000	0.000000	-2.406393	
0.500000	0.000000	0.000000	-2.356293	
0.509902	0.000000	0.000000	-2.308946	
0.519615	0.000000	0.000000	-2.264126	
0.529150	0.000000	0.000000	-2.221628	
0.538516	0.000000	0.000000	-2.181268	
0.547723	0.000000	0.000000	-2.142883	
0.556776	0.000000	0.000000	-2.106321	
0.565685	0.000000	0.000000	-2.071450	
0.574456	0.000000	0.000000	-2.038147	
0.583095	0.000000	0.000000	-2.006303	
0.591608	0.000000	0.000000	-1.975817	
0.600000	0.000000	0.000000	-1.946599	
0.608276	0.000000	0.000000	-1.918564	
0.616441	0.000000	0.000000	-1.891639	
0.624500	0.000000	0.000000	-1.865752	
0.632456	0.000000	0.000000	-1.840842	
0.640312	0.000000	0.000000	-1.816848	
0.648074	0.000000	0.000000	-1.793719	
0.655744	0.000000	0.000000	-1.771404	
0.663325	0.000000	0.000000	-1.749858	
0.670820	0.000000	0.000000	-1.729038	
0.678233	0.000000	0.000000	-1.708906	
0.685565	0.000000	0.000000	-1.689425	
0.692820	0.000000	0.000000	-1.670561	
0.700000	0.000000	0.000000	-1.652284	
0.707107	0.000000	0.000000	-1.634563	
0.714143	0.000000	0.000000	-1.617373	
0.721110	0.000000	0.000000	-1.600687	
0.728011	0.000000	0.000000	-1.584482	
0.734847	0.000000	0.000000	-1.568735	
0.741620	0.000000	0.000000	-1.553427	
0.748331	0.000000	0.000000	-1.538536	
0.754983	0.000000	0.000000	-1.524045	
0.761577	0.000000	0.000000	-1.509937	
0.768115	0.000000	0.000000	-1.496195	
0.774597	0.000000	0.000000	-1.482805	
0.781025	0.000000	0.000000	-1.469750	
0.787401	0.000000	0.000000	-1.457019	
0.793725	0.000000	0.000000	-1.444599	
0.800000	0.000000	0.000000	-1.432476	
0.806226	0.000000	0.000000	-1.420639	
0.812404	0.000000	0.000000	-1.409079	
0.818535	0.000000	0.000000	-1.397783	
0.824621	0.000000	0.000000	-1.386743	
0.830662	0.000000	0.000000	-1.375949	
0.836660	0.000000	0.000000	-1.365393	
0.842615	0.000000	0.000000	-1.355065	
0.848528	0.000000	0.000000	-1.344958	
0.854400	0.000000	0.000000	-1.335065	
0.860233	0.000000	0.000000	-1.325377	
0.866025	0.000000	0.000000	-1.315889	
0.871780	0.000000	0.000000	-1.306592	
0.877496	0.000000	0.000000	-1.297483	
0.883176	0.000000	0.000000	-1.288553	
0.888819	0.000000	0.000000	-1.279798	
0.894427	0.000000	0.000000	-1.271212	
0.900000	0.000000	0.000000	-1.262789	
0.905539	0.000000	0.000000	-1.254526	
0.911043	0.000000	0.000000	-1.246415	
0.916515	0.000000	0.000000	-1.238455	
0.921954	0.000000	0.000000	-1.230638	
0.927362	0.000000	0.000000	-1.222963	
0.932738	0.000000	0.000000	-1.215423	
0.938083	0.000000	0.000000	-1.208017	
0.943398	0.000000	0.000000	-1.200739	
0.948683	0.000000	0.000000	-1.193586	
0.953939	0.000000	0.000000	-1.186555	
0.959166	0.000000	0.000000	-1.179642	
0.964365	0.000000	0.000000	-1.172845	
0.969536	0.000000	0.000000	-1.166159	
0.974679	0.000000	0.000000	-1.159583	
0.979796	0.000000	0.000000	-1.153112	
0.984886	0.000000	0.000000	-1.146745	
0.989949	0.000000	0.000000	-1.140479	
0.994987	0.000000	0.000000	-1.134311	
1.000000	0.000000	0.000000	-1.128238	
1.004988	0.000000	0.000000	-1.122259	
1.009950	0.000000	0.000000	-1.116370	
1.014889	0.000000	0.000000	-1.110571	
1.019804	0.000000	0.000000	-1.104858	
1.024695	0.000000	0.000000	-1.099229	
1.029563	0.000000	0.000000	-1.093683	
1.034408	0.000000	0.000000	-1.088218	
1.039230	0.000000	0.000000	-1.082831	
1.044031	0.000000	0.000000	-1.077521	
1.048809	0.000000	0.000000	-1.072286	
1.053565	0.000000	0.000000	-1.067124	
1.058301	0.000000	0.000000	-1.062034	
1.063015	0.000000	0.000000	-1.057014	
1.067708	0.000000	0.000000	-1.052062	
1.072381	0.000000	0.000000	-1.047177	
1.077033	0.000000	0.000000	-1.042358	
1.081665	0.000000	0.000000	-1.037603	
1.086278	0.000000	0.000000	-1.032911	
1.090871	0.000000	0.000000	-1.028280	
1.095445	0.000000	0.000000	-1.023709	
1.100000	0.000000	0.000000	-1.019197	
1.104536	0.000000	0.000000	-1.014742	
1.109054	0.000000	0.000000	-1.010344	
1.113553	0.000000	0.000000	-1.006001	
1.118034	0.000000	0.000000	-1.001713	
1.122497	0.000000	0.000000	-0.997477	
1.126943	0.000000	0.000000	-0.993294	
1.131371	0.000000	0.000000	-0.989161	
1.135782	0.000000	0.000000	-0.985078	
1.140175	0.000000	0.000000	-0.981044	
1.144552	0.000000	0.000000	-0.977059	
1.148913	0.000000	0.000000	-0.973120	
1.153256	0.000000	0.000000	-0.969228	
1.157584	0.000000	0.000000	-0.965381	
1.161895	0.000000	0.000000	-0.961578	
1.166190	0.000000	0.000000	-0.957819	
1.170470	0.000000	0.000000	-0.954103	
1.174734	0.000000	0.000000	-0.950429	
1.178983	0.000000	0.000000	-0.946796	
1.183216	0.000000	0.000000	-0.943204	
1.187434	0.000000	0.000000	-0.939651	
1.191638	0.000000	0.000000	-0.936138	
1.195826	0.000000	0.000000	-0.932663	
1.200000	0.000000	0.000000	-0.929226	
1.204159	0.000000	0.000000	-0.925825	
1.208305	0.000000	0.000000	-0.922462	
1.212436	0.000000	0.000000	-0.919134	
1.216553	0.000000	0.000000	-0.915841	
1.220656	0.000000	0.000000	-0.912582	
1.224745	0.000000	0.000000	-0.909358	
1.228821	0.000000	0.000000	-0.906167	
1.232883	0.000000	0.000000	-0.903009	
1.236932	0.000000	0.000000	-0.899883	
1.240967	0.000000	0.000000	-0.896789	
1.244990	0.000000	0.000000	-0.893726	
1.249000	0.000000	0.000000	-0.890694	
1.252996	0.000000	0.000000	-0.887692	
1.256981	0.000000	0.000000	-0.884720	
1.260952	0.000000	0.000000	-0.881778	
1.264911	0.000000	0.000000	-0.878864	
1.268858	0.000000	0.000000	-0.875978	
1.272792	0.000000	0.000000	-0.873120	
1.276715	0.000000	0.000000	-0.870290	
1.280625	0.000000	0.000000	-0.867487	
1.284523	0.000000	0.000000	-0.864710	
1.288410	0.000000	0.000000	-0.861960	
1.292285	0.000000	0.000000	-0.859235	
1.296148	0.000000	0.000000	-0.856536	
1.300000	0.000000	0.000000	-0.853862	
1.303840	0.000000	0.000000	-0.851212	
1.307670	0.000000	0.000000	-0.848587	
1.311488	0.000000	0.000000	-0.845986	
