0.000000	-nan	-nan	-nan	
0.100000	-0.000016	0.000000	116962.710938	
0.141421	-0.000016	0.000000	7211.932617	
0.173205	-0.000015	0.000000	1371.972412	
0.200000	-0.000015	0.000000	401.723694	
0.223607	-0.000015	0.000000	142.707581	
0.244949	-0.000015	0.000000	53.127792	
0.264575	-0.000015	0.000000	16.868227	
0.282843	-0.000015	0.000000	0.686627	
0.300000	-0.000014	0.000000	-6.939121	
0.316228	-0.000014	0.000000	-10.583229	
0.331662	-0.000014	0.000000	-12.254008	
0.346410	-0.000014	0.000000	-12.903591	
0.360555	-0.000014	0.000000	-13.011023	
0.374166	-0.000014	0.000000	-12.828666	
0.387298	-0.000014	0.000000	-12.494187	
0.400000	-0.000014	0.000000	-12.084591	
0.412311	-0.000014	0.000000	-11.643618	
0.424264	-0.000014	0.000000	-11.196229	
0.435890	-0.000014	0.000000	-10.756543	
0.447214	-0.000013	0.000000	-10.332307	
0.458258	-0.000013	0.000000	-9.927485	
0.469042	-0.000013	0.000000	-9.543791	
0.479583	-0.000013	0.000000	-9.181595	
0.489898	-0.000013	0.000000	-8.840490	
0.500000	-0.000013	0.000000	-8.519629	
0.509902	-0.000013	0.000000	-8.217940	
0.519615	-0.000013	0.000000	-7.934244	
0.529150	-0.000013	0.000000	-7.667341	
0.538516	-0.000013	0.000000	-7.416059	
0.547723	-0.000013	0.000000	-7.179275	
0.556776	-0.000013	0.000000	-6.955930	
0.565685	-0.000013	0.000000	-6.745041	
0.574456	-0.000013	0.000000	-6.545691	
0.583095	-0.000013	0.000000	-6.357039	
0.591608	-0.000012	0.000000	-6.178310	
0.600000	-0.000012	0.000000	-6.008794	
0.608276	-0.000012	0.000000	-5.847836	
0.616441	-0.000012	0.000000	-5.694841	
0.624500	-0.000012	0.000000	-5.549261	
0.632456	-0.000012	0.000000	-5.410591	
0.640312	-0.000012	0.000000	-5.278373	
0.648074	-0.000012	0.000000	-5.152183	
0.655744	-0.000012	0.000000	-5.031632	
0.663325	-0.000012	0.000000	-4.916362	
0.670820	-0.000012	0.000000	-4.806045	
0.678233	-0.000012	0.000000	-4.700375	
0.685565	-0.000012	0.000000	-4.599075	
0.692820	-0.000012	0.000000	-4.501885	
0.700000	-0.000012	0.000000	-4.408565	
0.707107	-0.000012	0.000000	-4.318893	
0.714143	-0.000012	0.000000	-4.232665	
0.721110	-0.000012	0.000000	-4.149689	
0.728011	-0.000012	0.000000	-4.069789	
0.734847	-0.000012	0.000000	-3.992799	
0.741620	-0.000012	0.000000	-3.918567	
0.748331	-0.000012	0.000000	-3.846948	
0.754983	-0.000011	0.000000	-3.777811	
0.761577	-0.000011	0.000000	-3.711029	
0.768115	-0.000011	0.000000	-3.646486	
0.774597	-0.000011	0.000000	-3.584073	
0.781025	-0.000011	0.000000	-3.523687	
0.787401	-0.000011	0.000000	-3.465234	
0.793725	-0.000011	0.000000	-3.408622	
0.800000	-0.000011	0.000000	-3.353766	
0.806226	-0.000011	0.000000	-3.300589	
0.812404	-0.000011	0.000000	-3.249014	
0.818535	-0.000011	0.000000	-3.198972	
0.824621	-0.000011	0.000000	-3.150394	
0.830662	-0.000011	0.000000	-3.103220	
0.836660	-0.000011	0.000000	-3.057389	
0.842615	-0.000011	0.000000	-3.012846	
0.848528	-0.000011	0.000000	-2.969537	
0.854400	-0.000011	0.000000	-2.927413	
0.860233	-0.000011	0.000000	-2.886426	
0.866025	-0.000011	0.000000	-2.846531	
0.871780	-0.000011	0.000000	-2.807686	
0.877496	-0.000011	0.000000	-2.769850	
0.883176	-0.000011	0.000000	-2.732983	
0.888819	-0.000011	0.000000	-2.697052	
0.894427	-0.000011	0.000000	-2.662019	
0.900000	-0.000011	0.000000	-2.627853	
0.905539	-0.000011	0.000000	-2.594522	
0.911043	-0.000011	0.000000	-2.561995	
0.916515	-0.000011	0.000000	-2.530245	
0.921954	-0.000011	0.000000	-2.499244	
0.927362	-0.000011	0.000000	-2.468966	
0.932738	-0.000010	0.000000	-2.439387	
0.938083	-0.000010	0.000000	-2.410482	
0.943398	-0.000010	0.000000	-2.382229	
0.948683	-0.000010	0.000000	-2.354607	
0.953939	-0.000010	0.000000	-2.327595	
0.959166	-0.000010	0.000000	-2.301173	
0.964365	-0.000010	0.000000	-2.275321	
0.969536	-0.000010	0.000000	-2.250023	
0.974679	-0.000010	0.000000	-2.225260	
0.979796	-0.000010	0.000000	-2.201016	
0.984886	-0.000010	0.000000	-2.177274	
0.989949	-0.000010	0.000000	-2.154020	
0.994987	-0.000010	0.000000	-2.131239	
1.000000	-0.000010	0.000000	-2.108917	
1.004988	-0.000010	0.000000	-2.087039	
1.009950	-0.000010	0.000000	-2.065594	
1.014889	-0.000010	0.000000	-2.044568	
1.019804	-0.000010	0.000000	-2.023949	
1.024695	-0.000010	0.000000	-2.003726	
1.029563	-0.000010	0.000000	-1.983887	
1.034408	-0.000010	0.000000	-1.964422	
1.039230	-0.000010	0.000000	-1.945321	
1.044031	-0.000010	0.000000	-1.926573	
1.048809	-0.000010	0.000000	-1.908169	
1.053565	-0.000010	0.000000	-1.890100	
1.058301	-0.000010	0.000000	-1.872355	
1.063015	-0.000010	0.000000	-1.854928	
1.067708	-0.000010	0.000000	-1.837810	
1.072381	-0.000010	0.000000	-1.820991	
1.077033	-0.000010	0.000000	-1.804466	
1.081665	-0.000010	0.000000	-1.788226	
1.086278	-0.000010	0.000000	-1.772264	
1.090871	-0.000010	0.000000	-1.756572	
1.095445	-0.000010	0.000000	-1.741145	
1.100000	-0.000010	0.000000	-1.725976	
1.104536	-0.000010	0.000000	-1.711058	
1.109054	-0.000010	0.000000	-1.696385	
1.113553	-0.000010	0.000000	-1.681951	
1.118034	-0.000010	0.000000	-1.667751	
1.122497	-0.000010	0.000000	-1.653779	
1.126943	-0.000010	0.000000	-1.640029	
1.131371	-0.000009	0.000000	-1.626497	
1.135782	-0.000009	0.000000	-1.613177	
1.140175	-0.000009	0.000000	-1.600064	
1.144552	-0.000009	0.000000	-1.587154	
1.148913	-0.000009	0.000000	-1.574442	
1.153256	-0.000009	0.000000	-1.561923	
1.157584	-0.000009	0.000000	-1.549593	
1.161895	-0.000009	0.000000	-1.537449	
1.166190	-0.000009	0.000000	-1.525485	
1.170470	-0.000009	0.000000	-1.513698	
1.174734	-0.000009	0.000000	-1.502084	
1.178983	-0.000009	0.000000	-1.490640	
1.183216	-0.000009	0.000000	-1.479361	
1.187434	-0.000009	0.000000	-1.468244	
1.191638	-0.000009	0.000000	-1.457286	
1.195826	-0.000009	0.000000	-1.446483	
1.200000	-0.000009	0.000000	-1.435833	
1.204159	-0.000009	0.000000	-1.425331	
1.208305	-0.000009	0.000000	-1.414975	
1.212436	-0.000009	0.000000	-1.404762	
1.216553	-0.000009	0.000000	-1.394690	
1.220656	-0.000009	0.000000	-1.384754	
1.224745	-0.000009	0.000000	-1.374953	
1.228821	-0.000009	0.000000	-1.365283	
1.232883	-0.000009	0.000000	-1.355743	
1.236932	-0.000009	0.000000	-1.346329	
1.240967	-0.000009	0.000000	-1.337039	
